Number,Level,Vocabulary,Wordclass,Guide
1,2급,가까이01/가까이02,부사/명사,가까이 다가오다
2,2급,가끔,부사,가끔 보다
3,2급,가늘다,형용사,손가락이 가늘다
4,2급,가득,부사,가득 차다
5,2급,가리키다,동사,손가락으로 가리키다
6,2급,가슴,명사,신체
7,2급,가위01,명사,가위로 자르다
8,2급,가져가다,동사,우산을 가져가다
9,2급,가져오다,동사,우산을 가져오다
10,2급,각각02/각각01,부사/명사,각각 다르다
11,2급,간단하다,형용사,설명이 간단하다
12,2급,간단히,부사,간단히 이야기하다
13,2급,간식,명사,간식을 먹다
14,2급,간장01,명사,간장을 넣다
15,2급,간호사,명사,간호사가 되다
16,2급,갈색,명사,색
17,2급,갈아입다,동사,옷을 갈아입다
18,2급,감기약,명사,감기약을 먹다
19,2급,감다01,동사,눈을 감다
20,2급,감다02,동사,머리를 감다
21,2급,감자01,명사,감자튀김
22,2급,갑자기,부사,갑자기 나타나다
23,2급,강,명사,강을 건너다
24,2급,강아지,명사,강아지를 키우다
25,2급,강하다02,형용사,힘이 강하다
26,2급,갖다01,명사,돈을 갖다
27,2급,갚다,동사,돈을 갚다
28,2급,개월,의존명사,삼 개월
29,2급,거01,의존명사,먹을 거
30,2급,거리01,명사,거리로 나가다
31,2급,거리03,명사,거리가 가깝다
32,2급,거울,명사,거울을 보다
33,2급,거의02/거의01,부사/명사,거의 없다
34,2급,거절,명사,제안을 거절하다
35,2급,거짓말,명사,선의의 거짓말
36,2급,걱정,명사,걱정이 많다
37,2급,건너가다,동사,길을 건너가다
38,2급,건너다,동사,길을 건너다
39,2급,걸어가다,동사,학교에 걸어가다
40,2급,걸어오다01,동사,집에 걸어오다
41,2급,걸음,명사,걸음이 느리다
42,2급,검사02,명사,숙제 검사
43,2급,검은색,명사,색
44,2급,검정01,명사,색
45,2급,겉,명사,겉과 속
46,2급,게으르다,형용사,게으른 사람
47,2급,결과,명사,검사 결과
48,2급,결석,명사,학교에 결석하다
49,2급,결심,명사,굳은 결심
50,2급,결정01,명사,결정을 내리다
51,2급,결혼,명사,결혼 기념
52,2급,결혼식,명사,결혼식을 올리다
53,2급,경기02,명사,운동 경기
54,2급,경찰,명사,경찰 조사
55,2급,경찰서,명사,경찰서에 신고하다
56,2급,경치,명사,경치가 좋다
57,2급,경험,명사,경험을 쌓다
58,2급,계단,명사,계단을 오르다
59,2급,계란,명사,계란을 먹다
60,2급,계산,명사,날짜 계산
61,2급,고개01,명사,고개를 들다
62,2급,고등학교,명사,고등학교에 입학하다
63,2급,고등학생,명사,고등학생이 되다
64,2급,고모,명사,친척
65,2급,고민,명사,고민을 나누다
66,2급,고속버스,명사,고속버스를 타다
67,2급,고장02,명사,고장이 나다
68,2급,고추장,명사,고추장을 넣다
69,2급,고치다,동사,컴퓨터를 고치다
70,2급,곧,부사,곧 가다
71,2급,공01,명사,공을 던지다
72,2급,공무원,명사,공무원으로 일하다
73,2급,공장,명사,공장에서 일하다
74,2급,공짜,명사,공짜로 주다
75,2급,공휴일,명사,공휴일로 정하다
76,2급,과거02,명사,과거를 잊다
77,2급,과자,명사,과자를 먹다
78,2급,관계02,명사,관계를 맺다
79,2급,관광,명사,국내 관광
80,2급,관광객,명사,외국인 관광객
81,2급,관광지,명사,국내 관광지
82,2급,관심,명사,관심을 가지다
83,2급,광고,명사,신문 광고
84,2급,광주,명사,지명
85,2급,교과서,명사,교과서에서 배우다
86,2급,교사03,명사,수학 교사
87,2급,교수,명사,대학 교수
88,2급,교육,명사,교육을 받다
89,2급,교통비,명사,교통비가 들다
90,2급,교통사고,명사,교통사고가 나다
91,2급,교환,명사,사이즈 교환
92,2급,교회,명사,기독교 교회
93,2급,구름,명사,구름이 끼다
94,2급,국,명사,국을 끓이다
95,2급,국내,명사,국내와 국외
96,2급,국수,명사,국수를 먹다
97,2급,국제,명사,국제 관계
98,2급,군인,명사,직업 군인
99,2급,굵다,형용사,팔뚝이 굵다
100,2급,굽다01,동사,고기를 굽다
101,2급,궁금하다,형용사,소식이 궁금하다
102,2급,귀걸이,명사,귀걸이를 빼다
103,2급,귀여워하다,동사,강아지를 귀여워하다
104,2급,귀엽다,형용사,얼굴이 귀엽다
105,2급,귀찮다,형용사,귀찮은 일
106,2급,규칙,명사,규칙을 어기다
107,2급,그거,대명사,
108,2급,그곳,대명사,
109,2급,그날,명사,그날 밤
110,2급,그냥,부사,그냥 가다
111,2급,그대로,부사,그대로 두다
112,2급,그동안,명사,그동안 잘 지내다
113,2급,그때,명사,그때를 기억하다
114,2급,그러나01,부사,
115,2급,그러므로,부사,
116,2급,그런01,관형사,그런 사람
117,2급,그립다,형용사,가족이 그립다
118,2급,그만02,부사,그만 먹다
119,2급,그만두다,동사,일을 그만두다
120,2급,그분,대명사,
121,2급,그치다,동사,비가 그치다
122,2급,글쎄,감탄사,
123,2급,글씨,명사,글씨를 쓰다
124,2급,글자,명사,글자를 쓰다
125,2급,금방,부사,금방 가다
126,2급,금지,명사,출입 금지
127,2급,급하다,형용사,급한 사정
128,2급,기르다,동사,개를 기르다
129,2급,기름,명사,기름에 튀기다
130,2급,기뻐하다,동사,취직을 기뻐하다
131,2급,기쁨,명사,기쁨을 나누다
132,2급,기억,명사,기억이 나다
133,2급,기억나다,동사,이름이 기억나다
134,2급,기온,명사,기온이 높다
135,2급,기자,명사,신문 기자
136,2급,기차역,명사,기차역에 도착하다
137,2급,기차표,명사,기차표를 끊다
138,2급,기침,명사,기침이 나다
139,2급,기타02,명사,기타를 치다
140,2급,기회,명사,기회를 놓치다
141,2급,긴장,명사,긴장을 풀다
142,2급,길이01,명사,가로 길이
143,2급,김02,명사,김을 먹다
144,2급,깊다,형용사,바다가 깊다
145,2급,깊이02,부사,깊이 묻다
146,2급,까만색,명사,색
147,2급,까맣다,형용사,밤하늘이 까맣다
148,2급,깎다,동사,사과를 깎다
149,2급,깜짝02,부사,깜짝 놀라다
150,2급,깨끗이,부사,깨끗이 씻다
151,2급,깨다01,동사,잠이 깨다
152,2급,꺼내다,동사,가방에서 꺼내다
153,2급,껌,명사,껌을 씹다
154,2급,꽃다발,명사,꽃다발을 선물하다
155,2급,꽃병,명사,꽃병을 깨뜨리다
156,2급,꽃집,명사,꽃집을 열다
157,2급,꾸다01,동사,꿈을 꾸다
158,2급,꿈,명사,꿈을 꾸다
159,2급,끊다,동사,담배를 끊다
160,2급,끓다,동사,물이 끓다
161,2급,끓이다,동사,물을 끓이다
162,2급,끝,명사,시작과 끝
163,2급,끝내다,동사,일을 끝내다
164,2급,끼다03,동사,단추를 끼다
165,2급,나누다,동사,둘로 나누다
166,2급,나머지,명사,나머지 돈
167,2급,나이,명사,나이가 많다
168,2급,나타나다,동사,건물이 나타나다
169,2급,나흘,명사,나흘이 걸리다
170,2급,낚시,명사,낚시를 가다
171,2급,날다,동사,새가 날다
172,2급,날씬하다,형용사,몸매가 날씬하다
173,2급,남01,명사,타인
174,2급,남기다,동사,음식을 남기다
175,2급,남녀,명사,청춘 남녀
176,2급,남다,동사,시간이 남다
177,2급,남성,명사,남성과 여성
178,2급,남쪽,명사,남쪽 지방
179,2급,남학생,명사,남학생과 여학생
180,2급,낫다01,동사,병이 낫다
181,2급,낫다02,형용사,더 낫다
182,2급,낮잠,명사,낮잠을 자다
183,2급,내과,명사,내과 의사
184,2급,내다01,동사,문제를 내다
185,2급,내려가다,동사,아래로 내려가다
186,2급,내려오다,동사,아래로 내려오다
187,2급,내용,명사,수업 내용
188,2급,냄비,명사,냄비에 끓이다
189,2급,냄새,명사,냄새를 맡다
190,2급,냉장고,명사,냉장고에 넣다
191,2급,너희,대명사,
192,2급,넘다,동사,세 시간이 넘다
193,2급,넘어지다,동사,아이가 넘어지다
194,2급,네01,대명사,
195,2급,넥타이,명사,넥타이를 매다
196,2급,넷째01/넷째02/넷째03,수사/관형사/명사,순서
197,2급,노란색,명사,색
198,2급,노랗다,형용사,병아리가 노랗다
199,2급,노력01,명사,노력을 다하다
200,2급,노인,명사,노인을 공경하다
201,2급,노트02,명사,노트에 쓰다
202,2급,녹색,명사,색
203,2급,녹차,명사,녹차를 마시다
204,2급,놀라다,동사,깜짝 놀라다
205,2급,놀이,명사,인형 놀이
206,2급,농담,명사,농담을 주고받다
207,2급,높이01,명사,높이가 높다
208,2급,높이02,부사,높이 날다
209,2급,놓다01,동사,펜을 놓다
210,2급,누르다01,동사,버튼을 누르다
211,2급,눈물,명사,눈물이 흐르다
212,2급,눕다,동사,바닥에 눕다
213,2급,느끼다02,동사,추위를 느끼다
214,2급,느낌,명사,느낌이 좋다
215,2급,느리다,형용사,걸음이 느리다
216,2급,늘,부사,늘 만나다
217,2급,늘다,동사,면적이 늘다
218,2급,늙다,동사,젊다
219,2급,능력,명사,능력이 있다
220,2급,다리02,명사,다리를 건너다
221,2급,다섯째01/다섯째02/다섯째03,수사/관형사/명사,순서
222,2급,다양,명사,다양한 방법
223,2급,다음날,명사,다음날 아침
224,2급,다이어트,명사,다이어트에 성공하다
225,2급,다치다01,동사,팔을 다치다
226,2급,다하다,동사,기력이 다하다
227,2급,닦다,동사,구두를 닦다
228,2급,단순,명사,단순 노동
229,2급,단추,명사,단추를 달다
230,2급,단풍,명사,단풍이 들다
231,2급,달걀,명사,달걀을 삶다
232,2급,달력,명사,달력을 걸다
233,2급,달리기,명사,달리기가 빠르다
234,2급,달리다03,동사,말이 달리다
235,2급,닭,명사,닭이 울다
236,2급,닭고기,명사,닭고기 요리
237,2급,닮다,동사,아빠를 닮다
238,2급,답,명사,답이 없다
239,2급,답답하다,형용사,가슴이 답답하다
240,2급,답장,명사,답장을 보내다
241,2급,대10,의존명사,자동차 한 대
242,2급,대구,명사,대구 사람
243,2급,대부분01/대부분02,명사/부사,대부분의 시간
244,2급,대전01 명사,대명사,지명
245,2급,대학원,명사,대학원을 다니다
246,2급,대회,명사,대회가 열리다
247,2급,댁02/댁01,명사,선생님 댁
248,2급,더럽다,형용사,손이 더럽다
249,2급,더욱,부사,더욱 좋다
250,2급,덕분,명사,부모님 덕분
251,2급,던지다,동사,공을 던지다
252,2급,데려가다,동사,아이를 데려가다
253,2급,데려오다,동사,친구를 데려오다
254,2급,데이트,명사,데이트를 신청하다
255,2급,도03,의존명사,영상 일 도
256,2급,도로02,명사,도로를 건너다
257,2급,도시,명사,도시에서 살다
258,2급,도움,명사,도움을 받다
259,2급,독서,명사,독서를 즐기다
260,2급,돈가스,명사,돈가스를 먹다
261,2급,돌03,명사,돌을 던지다
262,2급,돌다,동사,빙글빙글 돌다
263,2급,돌려주다,동사,책을 돌려주다
264,2급,돌리다02,동사,바퀴를 돌리다
265,2급,동네,명사,동네 사람들
266,2급,동물,명사,동물을 키우다
267,2급,동물원,명사,동물원에 가다
268,2급,동시01,명사,동시에 일어나다
269,2급,동전,명사,동전 지갑
270,2급,동쪽,명사,동쪽 방향
271,2급,돼지,명사,돼지를 기르다
272,2급,돼지고기,명사,돼지고기를 먹다
273,2급,-되다,접사,취소되다
274,2급,된장,명사,된장을 담그다
275,2급,두껍다,형용사,두꺼운 책
276,2급,두다01,동사,책을 책상 위에 두다
277,2급,두부,명사,두부 한 모
278,2급,두세,관형사,두세 개
279,2급,두통,명사,두통을 앓다
280,2급,둘째01/둘째02/둘째03,수사/관형사/명사,순서
281,2급,뒤쪽,명사,뒤쪽으로 가다
282,2급,드디어,부사,드디어 끝나다
283,2급,들르다,동사,잠시 들르다
284,2급,들리다02,동사,소리가 들리다
285,2급,등01,명사,등을 긁다
286,2급,디자인,명사,디자인이 예쁘다
287,2급,따로,부사,따로 분리하다
288,2급,땀01,명사,땀이 나다
289,2급,땅,명사,땅에 떨어지다
290,2급,떠나다,동사,멀리 떠나다
291,2급,떠들다01,동사,떠드는 소리
292,2급,떡01,명사,떡을 찌다
293,2급,떡국,명사,떡국 한 그릇
294,2급,떨어지다,동사,벼락이 떨어지다
295,2급,또는,부사,남자 또는 여자
296,2급,똑같다,형용사,모양이 똑같다
297,2급,똑같이,부사,똑같이 나누다
298,2급,똑똑하다,형용사,머리가 똑똑하다
299,2급,똑바로,부사,똑바로 가다
300,2급,뚱뚱하다,형용사,뚱뚱한 몸집
301,2급,뛰다02,동사,운동장을 뛰다
302,2급,뛰어가다,동사,학교로 뛰어가다
303,2급,뜨겁다,형용사,뜨거운 국물
304,2급,뜨다05,동사,눈을 뜨다
305,2급,뜻,명사,단어의 뜻
306,2급,라디오,명사,라디오를 켜다
307,2급,레스토랑,명사,고급 레스토랑
308,2급,마당01,명사,마당 청소
309,2급,마르다01,동사,목이 마르다
310,2급,마을,명사,마을 주민
311,2급,마중,명사,마중을 나가다
312,2급,마지막,명사,마지막 시간
313,2급,마치다,동사,준비를 마치다
314,2급,마트,명사,마트에서 사다
315,2급,막걸리,명사,막걸리를 마시다
316,2급,막히다,동사,구멍이 막히다
317,2급,만두,명사,만두를 빚다
318,2급,만약,명사,만약의 경우
319,2급,만일,명사,만일의 경우
320,2급,만지다,동사,손을 만지다
321,2급,만화,명사,만화를 그리다
322,2급,말04,명사,말 한 마리
323,2급,말06,의존명사,학기 말
324,2급,맞추다,동사,부품을 맞추다
325,2급,매년02/매년01,부사/명사,매년 증가하다
326,2급,매다01,동사,신발 끈을 매다
327,2급,매달02/매달01,부사/명사,매달 월요일
328,2급,매우,부사,매우 좋다
329,2급,매주02/매주01,부사/명사,매주 월요일
330,2급,매표소,명사,영화관 매표소
331,2급,맥주,명사,맥주를 마시다
332,2급,머리카락,명사,긴 머리카락
333,2급,멀리,부사,멀리 날다
334,2급,멈추다,동사,피가 멈추다
335,2급,멋,명사,멋을 부리다
336,2급,메다,동사,가방을 메다
337,2급,메모,명사,메모를 남기다
338,2급,메시지,명사,문자 메시지
339,2급,메일,명사,메일 주소
340,2급,명절,명사,명절 연휴
341,2급,모기,명사,모기에 물리다
342,2급,모든,관형사,모든 사람
343,2급,모습,명사,웃는 모습
344,2급,모시다,동사,고객을 모시다
345,2급,모양01,명사,별 모양
346,2급,모으다,동사,장난감을 모으다
347,2급,모이다,동사,한데 모이다
348,2급,모임,명사,모임에 나가다
